,Data,N-day,S-day,T-day,S minus
0,1986-01-01,0.0,0.0,0.0,0.0
1,1986-01-02,0.0,0.0,0.0,0.0
2,1986-01-03,0.0,0.0,0.0,0.0
3,1986-01-04,0.0,0.0,0.0,0.0
4,1986-01-05,0.0,0.0,0.0,0.0
5,1986-01-06,0.0,0.0,0.0,0.0
6,1986-01-07,0.0,0.0,0.0,0.0
7,1986-01-08,0.0,0.0,0.0,0.0
8,1986-01-09,0.25,0.0,0.25,0.0
9,1986-01-10,0.0,0.0,0.0,0.0
10,1986-01-11,0.0,0.0,0.0,0.0
11,1986-01-12,0.0,0.0,0.0,0.0
12,1986-01-13,0.0,4.87,4.87,-4.87
13,1986-01-14,0.0,4.12,4.12,-4.12
14,1986-01-15,0.0,6.38,6.38,-6.38
15,1986-01-16,0.0,3.0,3.0,-3.0
16,1986-01-17,0.0,0.51,0.51,-0.51
17,1986-01-18,0.0,0.0,0.0,0.0
18,1986-01-19,0.0,0.0,0.0,0.0
19,1986-01-20,0.0,0.0,0.0,0.0
20,1986-01-21,1.7,0.0,1.7,0.0
21,1986-01-22,0.0,0.0,0.0,0.0
22,1986-01-23,0.0,0.0,0.0,0.0
23,1986-01-24,0.0,0.0,0.0,0.0
24,1986-01-25,0.0,0.0,0.0,0.0
25,1986-01-26,0.0,0.13,0.13,-0.13
26,1986-01-27,0.0,0.0,0.0,0.0
27,1986-01-28,0.0,0.0,0.0,0.0
28,1986-01-29,0.0,0.0,0.0,0.0
29,1986-01-30,0.0,0.0,0.0,0.0
30,1986-01-31,0.0,4.3,4.3,-4.3
31,1986-02-01,0.0,2.88,2.88,-2.88
32,1986-02-02,0.0,5.45,5.45,-5.45
33,1986-02-03,0.46,11.57,12.03,-11.57
34,1986-02-04,0.0,17.64,17.64,-17.64
35,1986-02-05,1.08,8.92,10.0,-8.92
36,1986-02-06,0.11,17.34,17.45,-17.34
37,1986-02-07,1.71,18.58,20.29,-18.58
38,1986-02-08,0.21,6.19,6.4,-6.19
39,1986-02-09,0.0,1.18,1.18,-1.18
40,1986-02-10,1.88,6.46,8.33,-6.46
41,1986-02-11,4.5,11.17,15.67,-11.17
42,1986-02-12,5.52,0.81,6.33,-0.81
43,1986-02-13,4.79,1.63,6.42,-1.63
44,1986-02-14,3.84,0.84,4.68,-0.84
45,1986-02-15,0.0,2.21,2.21,-2.21
46,1986-02-16,0.0,0.0,0.0,0.0
47,1986-02-17,0.0,0.0,0.0,0.0
48,1986-02-18,0.0,0.0,0.0,0.0
